date,player_name,team_name,market_name,sportsbook,bet_points,Over,Under
2025-03-22,Kadary Richmond,St. John's,Player Rebounds,BetOnline,7.5,-142.0,110.0
2025-03-22,Kadary Richmond,St. John's,Player Rebounds,FanDuel,7.5,-132.0,100.0
2025-03-22,Kadary Richmond,St. John's,Player Rebounds,Fliff,7.5,-145.0,-105.0
2025-03-22,RJ Luis Jr.,St. John's,Player Assists,BetOnline,1.5,-175.0,135.0
2025-03-22,RJ Luis Jr.,St. John's,Player Assists,Fliff,1.5,-185.0,120.0
2025-03-22,RJ Luis Jr.,St. John's,Player Points,BetOnline,19.5,-103.0,-125.0
2025-03-22,RJ Luis Jr.,St. John's,Player Points,FanDuel,19.5,-106.0,-120.0
2025-03-22,RJ Luis Jr.,St. John's,Player Points,Fliff,19.5,-120.0,-125.0
2025-03-22,RJ Luis Jr.,St. John's,Player Rebounds,BetOnline,7.5,-121.0,-106.0
2025-03-22,RJ Luis Jr.,St. John's,Player Rebounds,FanDuel,7.5,-106.0,-120.0
2025-03-22,RJ Luis Jr.,St. John's,Player Rebounds,Fliff,7.5,-145.0,-110.0
2025-03-22,Trevon Brazile,Arkansas,Player Points,BetOnline,8.5,-125.0,-103.0
2025-03-22,Trevon Brazile,Arkansas,Player Points,FanDuel,8.5,-125.0,-104.0
2025-03-22,Trevon Brazile,Arkansas,Player Points,Fliff,8.5,-145.0,-110.0
2025-03-22,Trevon Brazile,Arkansas,Player Rebounds,BetOnline,7.5,106.0,-136.0
2025-03-22,Trevon Brazile,Arkansas,Player Rebounds,Fliff,7.5,-105.0,-150.0
2025-03-22,Zuby Ejiofor,St. John's,Player Assists,BetOnline,1.5,-196.0,148.0
